date_time,hour,day,month,year,temp_C
3/22/2015 20:00,20,22,3,2015,8.3
3/22/2015 21:00,21,22,3,2015,8.4
3/22/2015 22:00,22,22,3,2015,8.4
3/22/2015 23:00,23,22,3,2015,8.3
3/23/2015 0:00,0,23,3,2015,8.4
3/23/2015 1:00,1,23,3,2015,8.4
3/23/2015 2:00,2,23,3,2015,8.4
3/23/2015 3:00,3,23,3,2015,8.4
3/23/2015 4:00,4,23,3,2015,8.4
3/23/2015 5:00,5,23,3,2015,8.5
3/23/2015 6:00,6,23,3,2015,8.5
3/23/2015 7:00,7,23,3,2015,8.5
3/23/2015 8:00,8,23,3,2015,8.4
3/23/2015 9:00,9,23,3,2015,8.4
3/23/2015 10:00,10,23,3,2015,8.5
3/23/2015 11:00,11,23,3,2015,8.5
3/23/2015 12:00,12,23,3,2015,8.5
3/23/2015 13:00,13,23,3,2015,8.5
3/23/2015 14:00,14,23,3,2015,8.5
3/23/2015 15:00,15,23,3,2015,8.4
3/23/2015 16:00,16,23,3,2015,8.4
3/23/2015 17:00,17,23,3,2015,8.4
3/23/2015 18:00,18,23,3,2015,8.4
3/23/2015 19:00,19,23,3,2015,8.4
3/23/2015 20:00,20,23,3,2015,8.4
3/23/2015 21:00,21,23,3,2015,8.5
3/23/2015 22:00,22,23,3,2015,8.5
3/23/2015 23:00,23,23,3,2015,8.5
3/24/2015 0:00,0,24,3,2015,8.5
3/24/2015 1:00,1,24,3,2015,8.5
3/24/2015 2:00,2,24,3,2015,8.5
3/24/2015 3:00,3,24,3,2015,8.5
3/24/2015 4:00,4,24,3,2015,8.6
3/24/2015 5:00,5,24,3,2015,8.6
3/24/2015 6:00,6,24,3,2015,8.6
3/24/2015 7:00,7,24,3,2015,8.6
3/24/2015 8:00,8,24,3,2015,8.5
3/24/2015 9:00,9,24,3,2015,8.5
3/24/2015 10:00,10,24,3,2015,8.5
3/24/2015 11:00,11,24,3,2015,8.5
3/24/2015 12:00,12,24,3,2015,8.5
3/24/2015 13:00,13,24,3,2015,8.5
3/24/2015 14:00,14,24,3,2015,8.5
3/24/2015 15:00,15,24,3,2015,8.5
3/24/2015 16:00,16,24,3,2015,8.5
3/24/2015 17:00,17,24,3,2015,8.5
3/24/2015 18:00,18,24,3,2015,8.5
3/24/2015 19:00,19,24,3,2015,8.5
3/24/2015 20:00,20,24,3,2015,8.5
3/24/2015 21:00,21,24,3,2015,8.5
3/24/2015 22:00,22,24,3,2015,8.5
3/24/2015 23:00,23,24,3,2015,8.5
3/25/2015 0:00,0,25,3,2015,8.5
3/25/2015 1:00,1,25,3,2015,8.5
3/25/2015 2:00,2,25,3,2015,8.5
3/25/2015 3:00,3,25,3,2015,8.5
3/25/2015 4:00,4,25,3,2015,8.5
3/25/2015 5:00,5,25,3,2015,8.5
3/25/2015 6:00,6,25,3,2015,8.5
3/25/2015 7:00,7,25,3,2015,8.5
3/25/2015 8:00,8,25,3,2015,8.6
3/25/2015 9:00,9,25,3,2015,8.6
3/25/2015 10:00,10,25,3,2015,8.6
3/25/2015 11:00,11,25,3,2015,8.5
3/25/2015 12:00,12,25,3,2015,8.5
3/25/2015 13:00,13,25,3,2015,8.6
3/25/2015 14:00,14,25,3,2015,8.6
3/25/2015 15:00,15,25,3,2015,8.6
3/25/2015 16:00,16,25,3,2015,8.6
3/25/2015 17:00,17,25,3,2015,8.6
3/25/2015 18:00,18,25,3,2015,8.6
3/25/2015 19:00,19,25,3,2015,8.6
3/25/2015 20:00,20,25,3,2015,8.7
3/25/2015 21:00,21,25,3,2015,8.7
3/25/2015 22:00,22,25,3,2015,8.7
3/25/2015 23:00,23,25,3,2015,8.6
3/26/2015 0:00,0,26,3,2015,8.6
3/26/2015 1:00,1,26,3,2015,8.5
3/26/2015 2:00,2,26,3,2015,8.6
3/26/2015 3:00,3,26,3,2015,8.5
3/26/2015 4:00,4,26,3,2015,8.5
3/26/2015 5:00,5,26,3,2015,8.5
3/26/2015 6:00,6,26,3,2015,8.4
3/26/2015 7:00,7,26,3,2015,8.5
3/26/2015 8:00,8,26,3,2015,8.4
3/26/2015 9:00,9,26,3,2015,8.4
3/26/2015 10:00,10,26,3,2015,8.4
3/26/2015 11:00,11,26,3,2015,8.4
3/26/2015 12:00,12,26,3,2015,8.4
3/26/2015 13:00,13,26,3,2015,8.4
3/26/2015 14:00,14,26,3,2015,8.5
3/26/2015 15:00,15,26,3,2015,8.5
3/26/2015 16:00,16,26,3,2015,8.6
3/26/2015 17:00,17,26,3,2015,8.4
3/26/2015 18:00,18,26,3,2015,8.6
3/26/2015 19:00,19,26,3,2015,8.5
3/26/2015 20:00,20,26,3,2015,8.7
3/26/2015 21:00,21,26,3,2015,8.6
3/26/2015 22:00,22,26,3,2015,8.5
3/26/2015 23:00,23,26,3,2015,8.5
3/27/2015 0:00,0,27,3,2015,8.5
3/27/2015 1:00,1,27,3,2015,8.6
3/27/2015 2:00,2,27,3,2015,8.5
3/27/2015 3:00,3,27,3,2015,8.5
3/27/2015 4:00,4,27,3,2015,8.6
3/27/2015 5:00,5,27,3,2015,8.6
3/27/2015 6:00,6,27,3,2015,8.4
3/27/2015 7:00,7,27,3,2015,8.5
3/27/2015 8:00,8,27,3,2015,8.4
3/27/2015 9:00,9,27,3,2015,8.5
3/27/2015 10:00,10,27,3,2015,8.5
3/27/2015 11:00,11,27,3,2015,8.5
3/27/2015 12:00,12,27,3,2015,8.4
3/27/2015 13:00,13,27,3,2015,8.4
3/27/2015 14:00,14,27,3,2015,8.4
3/27/2015 15:00,15,27,3,2015,8.4
3/27/2015 16:00,16,27,3,2015,8.4
3/27/2015 17:00,17,27,3,2015,8.7
3/27/2015 18:00,18,27,3,2015,8.5
3/27/2015 19:00,19,27,3,2015,8.6
3/27/2015 20:00,20,27,3,2015,8.5
3/27/2015 21:00,21,27,3,2015,8.3
3/27/2015 22:00,22,27,3,2015,8.3
